Developing,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Trust,,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Peace,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Mind,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
With,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Smart,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Webcam,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Cover,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
GT,{'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fcas%3Fdestination%3Dnode%2F12740', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fuser%3Fdestination%3Dnode%2F12740', 'https://sso.gatech.edu/cas/login?service=https%3A//hr.gatech.edu/casservice', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fsso.gatech.edu%2Fcas%2Fidp%2Fprofile%2FSAML2%2FCallback%3FentityId%3Dhttps%253A%252F%252Fmediaspace.gatech.edu'}
Login,{'https://sso.gatech.edu/cas/login?service=https%3A//hr.gatech.edu/casservice', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fuser%3Fdestination%3Dnode%2F12740', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fcas%3Fdestination%3Dnode%2F12740', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fsso.gatech.edu%2Fcas%2Fidp%2Fprofile%2FSAML2%2FCallback%3FentityId%3Dhttps%253A%252F%252Fmediaspace.gatech.edu'}
Welcomes,{'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors'}
Four,{'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors'}
New,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors'}
Assistant,{'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors'}
Professors,{'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors'}
Instruction,{'https://sci.cc.gatech.edu'}
–,{'https://sci.cc.gatech.edu'}
Undergraduate,{'https://sci.cc.gatech.edu'}
Teaching,{'https://sci.cc.gatech.edu'}
The,{'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://grants.gatech.edu/The-Problems-with-Overspending-on-Sponsored-Awards'}
Compiler,,{'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter'}
Community's,{'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter'}
Weekly,{'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter'}
Newsletter,{'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter'}
News,{'https://news.gatech.edu/subscribe', 'https://www.cc.gatech.edu/news', 'https://news.gatech.edu/social-media-directory', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing'}
Events,{'https://www.cc.gatech.edu/events'}
Faculty,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Member,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Brings,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
a,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Fearless,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Approach,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
to,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how'}
Ubiquitous,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Professor,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Deploying,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Anti-plagiarism,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Detection,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Tool,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
on,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://grants.gatech.edu/The-Problems-with-Overspending-on-Sponsored-Awards'}
900-student,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Course,{'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course'}
Dual,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Fellowship,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Awards,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing'}
Underscore,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Professor’s,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Research,{'https://oria.gatech.edu/', 'https://osp.gatech.edu/research-gifts', 'https://oria.gatech.edu/export-control', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing'}
Impact,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Cybersecurity,{'https://scp.cc.gatech.edu/', 'https://www.cc.gatech.edu/news/tag/cybersecurity'}
Helping,{'https://www.cc.gatech.edu/news/tag/helping-stories'}
Stories,{'https://www.cc.gatech.edu/news/tag/helping-stories'}
Home,{'https://transformation.gatech.edu', 'https://grants.gatech.edu/', 'https://gov.gatech.edu/', 'https://www.careers.gatech.edu'}
Human,{'https://www.careers.gatech.edu/boarding', 'https://hr.gatech.edu/flexwork-guidelines', 'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://www.careers.gatech.edu/gthr-bookings', 'https://hr.gatech.edu/working-tech-arrangement', 'https://www.careers.gatech.edu'}
Resources,{'https://www.careers.gatech.edu/boarding', 'https://hr.gatech.edu/flexwork-guidelines', 'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://www.careers.gatech.edu/gthr-bookings', 'https://hr.gatech.edu/working-tech-arrangement', 'https://www.careers.gatech.edu'}
Accountability,{'https://www.gatech.edu/accountability'}
Career/Professional,{'https://www.cc.gatech.edu/event/category/career-professional-development'}
Development,{'https://www.cc.gatech.edu/office-development', 'https://gov.gatech.edu/economic-development', 'https://www.cc.gatech.edu/event/category/career-professional-development'}
Conference/Symposium,{'https://www.cc.gatech.edu/event/category/conference-symposium'}
Training/Workshop,{'https://www.cc.gatech.edu/event/category/training-workshop'}
Machine,{'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
Learning,{'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
@,{'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
Georgia,{'https://oria.gatech.edu/', 'https://oria.gatech.edu/export-control', 'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://gov.gatech.edu/georgia-techs-strategic-energy-internship', 'https://transformation.gatech.edu', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
Tech,{'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
(ML@GT),{'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
Seminar/Lecture/Colloquium,{'https://www.cc.gatech.edu/event/category/seminar-lecture-colloquium', 'https://www.cc.gatech.edu/taxonomy/term/65/feed'}
GTHR,{'https://www.careers.gatech.edu/gthr-bookings'}
Bookings,{'https://www.careers.gatech.edu/gthr-bookings'}
