Ranking,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Based,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
on,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://keeneland.gatech.edu/node/104.html', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Faculty,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Success,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
PhD,{'https://www.cc.gatech.edu/people/phd'}
Students,{'https://www.cc.gatech.edu/people/phd'}
Buildings,{'https://www.cc.gatech.edu/buildings-and-facilities'}
Facilities,{'https://www.cc.gatech.edu/buildings-and-facilities'}
Support,{'https://www.cc.gatech.edu/support-college'}
the,{'https://keeneland.gatech.edu/', 'https://www.ece.gatech.edu/news/661036/georgia-tech-ece-programs-move-undergraduate-rankings-electrical-engineering-top-ranked', 'https://www.cc.gatech.edu/support-college'}
Hall,{'https://www.cc.gatech.edu/hall-fame'}
Fame,{'https://www.cc.gatech.edu/hall-fame'}
Staff,{'https://www.cc.gatech.edu/people/staff?page=9', 'https://www.cc.gatech.edu/people/staff'}
Tech,{'https://www.ece.gatech.edu/news/661036/georgia-tech-ece-programs-move-undergraduate-rankings-electrical-engineering-top-ranked', 'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20', 'https://star.cc.gatech.edu/'}
Receives,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
$65,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
Million,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
Grant,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
from,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
Semiconductor,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
Corporation,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
JUMP,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
2.0,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
Centers,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20'}
News,{'https://news.gatech.edu/news/2023/01/05/georgia-tech-receives-65-million-grant-semiconductor-research-corporation-jump-20', 'https://keeneland.gatech.edu/node/104.html'}
Alumni,{'https://www.cc.gatech.edu/alumni'}
Corporate,{'https://www.cc.gatech.edu/corporate-recruiting', 'https://www.cc.gatech.edu/about/support-the-college/cap'}
Recruiting,{'https://www.cc.gatech.edu/corporate-recruiting'}
Keeneland,{'https://keeneland.gatech.edu/user/login4830.html?destination=comment%2Freply%2F25%23comment-form', 'https://keeneland.gatech.edu/rss.xml', 'https://keeneland.gatech.edu/node/104.html', 'https://keeneland.gatech.edu/', 'https://keeneland.gatech.edu/Project.html'}
Enabling,{'https://keeneland.gatech.edu/'}
Heterogeneous,{'https://keeneland.gatech.edu/'}
Open,{'https://keeneland.gatech.edu/'}
Science,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://keeneland.gatech.edu/', 'https://www.cc.gatech.edu/unit/school-computer-science', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Community,{'https://keeneland.gatech.edu/', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Affiliates,{'https://www.cc.gatech.edu/about/support-the-college/cap'}
Program,{'https://www.ece.gatech.edu/news/661036/georgia-tech-ece-programs-move-undergraduate-rankings-electrical-engineering-top-ranked', 'https://www.cc.gatech.edu/about/support-the-college/cap'}
Keynote,{'https://diversity.gatech.edu/mlk-celebration-keynote-speaker'}
Speaker,{'https://diversity.gatech.edu/mlk-celebration-keynote-speaker'}
Member,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Brings,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
a,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Fearless,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Approach,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
to,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
Ubiquitous,{'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing'}
The,{'https://keeneland.gatech.edu/node/104.html'}
is,{'https://keeneland.gatech.edu/node/104.html', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
available,{'https://keeneland.gatech.edu/node/104.html'}
XSEDE,{'https://keeneland.gatech.edu/node/104.html'}
website.,{'https://keeneland.gatech.edu/node/104.html'}
Dual,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Fellowship,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Underscore,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Computer,{'https://www.ece.gatech.edu/news/661036/georgia-tech-ece-programs-move-undergraduate-rankings-electrical-engineering-top-ranked', 'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/unit/school-computer-science', 'https://www.cc.gatech.edu/news/tag/computer-systems'}
Professor’s,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Impact,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
Keeneland:,{'https://keeneland.gatech.edu/Project.html'}
National,{'https://keeneland.gatech.edu/Project.html'}
Experimental,{'https://keeneland.gatech.edu/Project.html'}
Office,{'https://www.cc.gatech.edu/office-development'}
Development,{'https://www.cc.gatech.edu/office-development'}
Sanat,{'https://www.cc.gatech.edu/alumni/sanat-moningi-memorial-scholarship'}
Moningi,{'https://www.cc.gatech.edu/alumni/sanat-moningi-memorial-scholarship'}
Memorial,{'https://www.cc.gatech.edu/alumni/sanat-moningi-memorial-scholarship'}
Scholarship,{'https://www.cc.gatech.edu/alumni/sanat-moningi-memorial-scholarship'}
User,{'https://keeneland.gatech.edu/user/login4830.html?destination=comment%2Freply%2F25%23comment-form'}
account,{'https://keeneland.gatech.edu/user/login4830.html?destination=comment%2Freply%2F25%23comment-form'}
Professor,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Says,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Recognition,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
“Cherry,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Top”,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
Rewarding,{'https://scs.gatech.edu/news/660421/professor-says-community-recognition-cherry-top-rewarding-career'}
